"HOST_INSTITUTION_CDE","MEDIAN_AGE","AVERAGE_GRANT_AMOUNT","AVERAGE_ECTS","STUDY_LENGTH","LANGUAGES_TAUGHT","SUBJECTS_TAUGHT","STUDENTS_ARRIVED","CONNECTED_UNIVERSITIES"
"A  BADEN01",20.5,2533.33333333333,26,4.08333333333333,2,3,6,3
"A  DORNBIR01",22,1263.79173076923,26.3846153846154,4.55769230769231,2,11,52,28
"A  EISENST01",21,1747.5,20.25,5.5,1,2,4,2
"A  EISENST02",22,1395.14285714286,22.8095238095238,4.58333333333333,2,9,21,10
"A  EISENST05",22.5,2251.66666666667,43.0833333333333,8.41666666666667,2,2,12,10
"A  FELDKIR01",22.5,2017.25,37.25,5.1875,1,2,4,2
"A  FELDKIR03",20,690,16,4,1,1,1,1
"A  GRAZ01",22,1551.4275390625,30.97265625,6.0859375,4,43,256,131
"A  GRAZ02",23,1731.9696124031,33.2868217054264,6.60658914728682,2,29,129,61
"A  GRAZ03",24,1946.60962962963,42.037037037037,6.96296296296296,3,6,27,23
"A  GRAZ04",21,1141.78,26.25,5.25,2,3,8,3
"A  GRAZ08",22,2074.99210526316,30.4210526315789,5.60526315789474,2,6,19,9
"A  Graz09",23,1000,19.8,4.1,2,2,5,1
"A  GRAZ09",22,1485.83671641791,28.2388059701493,4.91044776119403,2,27,67,41
"A  GRAZ10",21,1037.93,28.2857142857143,5.21428571428571,2,3,7,3
"A  GRAZ23",23,1791.35074074074,29.2222222222222,5.75925925925926,2,5,27,21
"A  INNSBRU01",22,1512.85112244898,33.8265306122449,6.41964285714286,3,42,196,100
"A  INNSBRU03",21.5,1393.01038461538,29.9615384615385,4.51923076923077,2,7,26,16
"A  INNSBRU08",22,1198.03836956522,26.4021739130435,4.70380434782609,2,21,92,43
"A  INNSBRU09",20.5,1201.52,30,4.5,1,2,2,1
"A  INNSBRU21",24,1684.47,42.4431818181818,6.20170454545455,2,4,88,44
"A  KLAGENF01",22,1763.661,32.2666666666667,5.33888888888889,2,24,90,44
"A  KLAGENF02",21,1456.15217391304,31.8695652173913,5.03260869565217,2,7,23,13
"A  KLAGENF06",25,2634.5,35,6.875,1,1,2,2
"A  KREMS02",21,1014.88888888889,21.3333333333333,3.5,2,4,9,5
"A  KREMS03",21,1201.04638888889,34.6666666666667,5.88541666666667,2,10,72,32
"A  KUFSTEI01",22,1374.02139784946,31.4731182795699,5.39247311827957,2,16,93,39
"A  LEOBEN01",22.5,1902.5,28.8888888888889,5.81944444444444,2,7,18,9
"A  LINZ01",23,1612.07578512397,28.1487603305785,5.46487603305785,2,26,121,61
"A  LINZ02",23,1465.79470588235,34.0882352941176,5.02205882352941,2,9,34,21
"A  LINZ03",22,1552.64868421053,26.2894736842105,4.85526315789474,2,10,38,15
"A  LINZ04",22,1142.30769230769,24,6.13461538461539,2,5,13,5
"A  LINZ17",22,2513.45,57.6666666666667,6,1,1,3,3
"A  SALZBUR01",22,1758.88846590909,33.5681818181818,6.20170454545455,3,29,176,84
"A  SALZBUR02",23,1897.32714285714,36.0714285714286,6.88392857142857,3,3,28,22
"A  SALZBUR03",21,1019.27272727273,26.8181818181818,4.38636363636364,2,5,11,5
"A  SALZBUR08",22,1467.51810344828,35.3448275862069,5.89655172413793,2,17,58,29
"A  SPITTAL01",23,1475.20906976744,28.3023255813953,5.00581395348837,3,16,43,23
"A  ST-POLT03",23,1377.64428571429,20.7857142857143,4.89285714285714,2,5,14,7
"A  WELS01",22,1566.14965116279,29.5232558139535,5.375,2,20,86,43
"A  WIEN01",22,1593.65601895735,32.1635071090047,5.99407582938389,5,70,844,242
"A  WIEN02",23,1820.21836585366,32.1,6.40304878048781,4,34,410,126
"A  WIEN03",23,1567.94723809524,28.3619047619048,5.55238095238095,2,37,210,77
"A  WIEN04",24,1711.17826086957,34.0434782608696,5.75,2,8,23,13
"A  WIEN05",22,1383.09467948718,34.1570512820513,5.10897435897436,3,21,312,78
"A  WIEN06",25,1414.75703703704,27.8518518518519,5.2962962962963,2,6,54,32
"A  WIEN07",23,1180.35681818182,27.3181818181818,4.25,2,9,22,17
"A  WIEN08",23,1696.51692307692,35.6153846153846,6.55128205128205,3,3,39,28
"A  WIEN09",21,1691.85806451613,27.258064516129,5,2,7,31,20
"A  WIEN10",21,1426.10742857143,26.6285714285714,4.3,2,8,35,15
"A  WIEN15",22.5,1325.41666666667,28,3.375,2,2,6,2
"A  WIEN20",23.5,1481.70875,37.25,6.4375,2,12,24,18
"A  WIEN21",21,1367.78654320988,32.4938271604938,5.79320987654321,3,13,81,29
"A  WIEN36",21,1095,29.3333333333333,6.16666666666667,2,3,3,3
"A  WIEN38",21.5,1805.69226190476,31.7738095238095,5.36904761904762,2,14,84,37
"A  WIEN52",23,1826.68620689655,37.3103448275862,6.41379310344828,2,5,29,25
"A  WIEN63",22,1200.38714285714,24.9142857142857,4.72857142857143,2,11,35,21
"A  WIEN64",23,1681.36554054054,33.2432432432432,6.46621621621622,2,3,74,38
"A  WIEN66",22,1063.874,28.8,4.825,1,3,10,4
"A  WIEN68",24,2224.944,47,8.4,2,2,5,3
"A  WIENER01",22,1080.45205882353,21.9705882352941,4.13235294117647,2,12,34,16
"A  WIENER04",23.5,835.75,12.375,3.0625,2,3,8,4
"A  XX",21,2047.5,35,5.8,1,1,5,1
